Date,AAPL,MSFT,AMZN,GOOGL
2021-12-23,174.28860473632812,328.66876220703125,171.06849670410156,146.91650390625
2021-12-27,178.29287719726562,336.2891540527344,169.66949462890625,147.906494140625
2021-12-28,177.26463317871094,335.1107177734375,170.66099548339844,146.68699645996094
2021-12-29,177.35360717773438,335.7981262207031,169.2010040283203,146.65499877929688
2021-12-30,176.18692016601562,333.2154541015625,168.64450073242188,146.20050048828125
2021-12-31,175.56407165527344,330.2694091796875,166.7169952392578,144.8520050048828
2022-01-03,179.95388793945312,328.7276611328125,170.4044952392578,144.9915008544922
2022-01-04,177.6699981689453,323.0909423828125,167.52200317382812,144.39950561523438
2022-01-05,172.9439697265625,310.6881408691406,164.35699462890625,137.77499389648438
2022-01-06,170.05699157714844,308.23309326171875,163.25399780273438,137.74749755859375
2022-01-07,170.2250518798828,308.3902282714844,162.5540008544922,137.01699829101562
2022-01-10,170.24481201171875,308.6160888671875,161.48599243164062,138.66949462890625
2022-01-11,173.10220336914062,309.3133850097656,165.36199951171875,139.73599243164062
2022-01-12,173.54708862304688,312.544189453125,165.20700073242188,141.4304962158203
2022-01-13,170.24481201171875,299.3164367675781,161.21400451660156,138.58700561523438
2022-01-14,171.11488342285156,304.61932373046875,162.13800048828125,139.48049926757812
2022-01-18,167.88182067871094,297.2051696777344,158.91749572753906,135.9980010986328
2022-01-19,164.35214233398438,297.87298583984375,156.2989959716797,135.1165008544922
2022-01-20,162.65159606933594,296.1740417480469,151.66749572753906,133.3074951171875
2022-01-21,160.5753173828125,290.70428466796875,142.64300537109375,130.35150146484375
2022-01-24,159.79425048828125,291.0380859375,144.54400634765625,130.8040008544922
2022-01-25,157.9750213623047,283.2998962402344,139.98599243164062,126.93499755859375
2022-01-26,157.8860321044922,291.37200927734375,138.87249755859375,129.23300170898438
2022-01-27,157.4213409423828,294.44573974609375,139.6374969482422,129.0050048828125
2022-01-28,168.4058380126953,302.7142639160156,143.97799682617188,133.3509979248047
2022-01-31,172.80557250976562,305.3852844238281,149.57350158691406,135.30349731445312
2022-02-01,172.63748168945312,303.20526123046875,151.19349670410156,137.6439971923828
2022-02-02,173.85357666015625,307.8206787109375,150.6125030517578,148.0
2022-02-03,170.94677734375,295.830322265625,138.8455047607422,143.08999633789062
2022-02-04,170.6597442626953,300.4359436035156,157.63949584960938,143.29299926757812
2022-02-07,169.93704223632812,295.5357360839844,157.9355010986328,139.2010040283203
2022-02-08,173.0752410888672,299.0807800292969,161.4134979248047,139.3990020751953
2022-02-09,174.5106658935547,305.6111145019531,161.1894989013672,141.5919952392578
2022-02-10,170.3924102783203,296.94000244140625,159.0034942626953,138.6199951171875
2022-02-11,166.94737243652344,289.7320251464844,153.2935028076172,134.28250122070312
2022-02-14,167.18496704101562,289.6927795410156,155.16700744628906,135.5260009765625
2022-02-15,171.05567932128906,295.06439208984375,156.510498046875,136.60850524902344
2022-02-16,170.818115234375,294.7199401855469,158.10049438476562,137.73800659179688
2022-02-17,167.18496704101562,286.0899658203125,154.65249633789062,132.53900146484375
2022-02-18,165.62083435058594,283.3346252441406,152.60150146484375,130.4029998779297
2022-02-22,162.67074584960938,283.12799072265625,150.19749450683594,129.81350708007812
2022-02-23,158.46339416503906,275.796875,144.82699584960938,127.58799743652344
2022-02-24,161.1065673828125,289.8882751464844,151.35800170898438,132.6909942626953
2022-02-25,163.19541931152344,292.5649108886719,153.7884979248047,134.45950317382812
2022-02-28,163.4626922607422,294.0212707519531,153.56300354003906,135.0570068359375
2022-03-01,161.56195068359375,290.2425842285156,151.14199829101562,134.06149291992188
2022-03-02,164.88824462890625,295.3989562988281,152.05250549316406,134.57150268554688
2022-03-03,164.56153869628906,291.1971130371094,147.89849853515625,133.89950561523438
2022-03-04,161.53225708007812,285.2337951660156,145.64100646972656,131.906494140625
2022-03-07,157.70111083984375,274.4585876464844,137.4530029296875,126.37850189208984
2022-03-08,155.85980224609375,271.4474182128906,136.01449584960938,127.10449981689453
2022-03-09,161.314453125,283.8955383300781,139.2790069580078,133.4199981689453
2022-03-10,156.9289093017578,281.031982421875,146.8175048828125,132.42950439453125
2022-03-11,153.1769561767578,275.60003662109375,145.52450561523438,129.87049865722656
2022-03-14,149.1082000732422,272.0279846191406,141.85299682617188,125.95099639892578
2022-03-15,153.53335571289062,282.56707763671875,147.3665008544922,129.197998046875
2022-03-16,157.98818969726562,289.6915283203125,153.10400390625,133.28050231933594
2022-03-17,159.00784301757812,290.50823974609375,157.23899841308594,133.83900451660156
2022-03-18,162.33413696289062,295.6351623535156,161.25050354003906,136.12550354003906
2022-03-21,163.72007751464844,294.3854064941406,161.4915008544922,136.10150146484375
2022-03-22,167.1255645751953,299.2071838378906,164.88900756835938,139.8679962158203
2022-03-23,168.50160217285156,294.7101135253906,163.4080047607422,138.27549743652344
2022-03-24,172.32286071777344,299.24658203125,163.64950561523438,141.57200622558594
2022-03-25,172.96632385253906,298.8332214355469,164.77349853515625,141.67300415039062
2022-03-28,173.83749389648438,305.74127197265625,168.99049377441406,141.45550537109375
2022-03-29,177.16380310058594,310.37603759765625,169.31500244140625,142.5054931640625
2022-03-30,175.98574829101562,308.85076904296875,166.30099487304688,141.93850708007812
2022-03-31,172.85743713378906,303.3893737792969,162.99749755859375,139.0675048828125
2022-04-01,172.56044006347656,304.4816589355469,163.55999755859375,140.15049743652344
2022-04-04,176.64898681640625,309.9430847167969,168.34649658203125,142.97149658203125
2022-04-05,173.3029327392578,305.9183044433594,164.05499267578125,140.59100341796875
